case,num_nodes,num_sources,avg_degree,budget,gnn,random,max_degree_static,max_degree_dynamic
2.0,10.0,2.0,3.0,3.0,0.2,0.36,0.4,0.4
2.0,10.0,2.0,4.0,1.0,0.2,0.7,0.4,0.4
2.0,10.0,2.0,4.0,2.0,0.1,0.37142857142857144,0.2,0.2
2.0,10.0,2.0,4.0,3.0,0.1,0.31428571428571433,0.2,0.2
2.0,10.0,3.0,1.0,1.0,0.6333333333333333,0.5499999999999999,0.3,0.4000000000000001
2.0,10.0,3.0,1.0,2.0,0.35000000000000003,0.25,0.20000000000000004,0.3
2.0,10.0,3.0,1.0,3.0,0.21666666666666667,0.2333333333333333,0.10000000000000002,0.10000000000000002
2.0,10.0,3.0,2.0,1.0,0.475,0.45,0.3,0.3
2.0,10.0,3.0,2.0,2.0,0.45,0.375,0.3,0.3
2.0,10.0,3.0,2.0,3.0,0.4,0.3,0.3,0.3
2.0,10.0,3.0,3.0,1.0,0.1,0.55,0.2,0.2
2.0,10.0,3.0,3.0,2.0,0.1,0.3,0.2,0.2
2.0,10.0,3.0,3.0,3.0,0.1,0.175,0.1,0.1
2.0,10.0,3.0,4.0,1.0,0.1,0.5399999999999999,0.24,0.24
2.0,10.0,3.0,4.0,2.0,0.1,0.3,0.1,0.1
2.0,10.0,3.0,4.0,3.0,0.1,0.18,0.1,0.1
2.0,25.0,1.0,1.0,1.0,0.28,0.22000000000000003,0.08,0.08
2.0,25.0,1.0,1.0,2.0,0.14,0.2,0.08,0.08
2.0,25.0,1.0,1.0,3.0,0.1,0.14,0.08,0.08
2.0,25.0,1.0,2.0,1.0,0.48000000000000004,0.6133333333333333,0.5466666666666667,0.5466666666666667
2.0,25.0,1.0,2.0,2.0,0.45333333333333337,0.4000000000000001,0.26666666666666666,0.26666666666666666
2.0,25.0,1.0,2.0,3.0,0.41333333333333333,0.3466666666666667,0.08,0.08
2.0,25.0,1.0,3.0,1.0,0.47428571428571425,0.6057142857142858,0.5428571428571429,0.5428571428571429
2.0,25.0,1.0,3.0,2.0,0.4057142857142857,0.5714285714285714,0.5428571428571429,0.5428571428571429
2.0,25.0,1.0,3.0,3.0,0.32571428571428573,0.48,0.3885714285714286,0.3885714285714286
2.0,25.0,1.0,4.0,1.0,0.55,0.78,0.545,0.545
2.0,25.0,1.0,4.0,2.0,0.46,0.645,0.375,0.375
2.0,25.0,1.0,4.0,3.0,0.385,0.505,0.35000000000000003,0.35000000000000003
2.0,25.0,2.0,1.0,1.0,0.24000000000000002,0.26,0.08,0.12
2.0,25.0,2.0,1.0,2.0,0.16,0.18,0.04,0.04
2.0,25.0,2.0,1.0,3.0,0.15,0.16,0.04,0.04
2.0,25.0,2.0,2.0,1.0,0.47333333333333333,0.6333333333333334,0.34,0.34
2.0,25.0,2.0,2.0,2.0,0.42,0.34,0.34,0.34
2.0,25.0,2.0,2.0,3.0,0.3666666666666667,0.3466666666666667,0.34,0.30000000000000004
2.0,25.0,2.0,3.0,1.0,0.23076923076923078,0.6646153846153846,0.29538461538461536,0.31384615384615383
2.0,25.0,2.0,3.0,2.0,0.2,0.4953846153846154,0.29538461538461536,0.29538461538461536
2.0,25.0,2.0,3.0,3.0,0.18769230769230769,0.3107692307692308,0.29538461538461536,0.29538461538461536
2.0,25.0,2.0,4.0,1.0,0.1942857142857143,0.6742857142857144,0.42857142857142855,0.42857142857142855
2.0,25.0,2.0,4.0,2.0,0.1942857142857143,0.5085714285714286,0.23428571428571426,0.23428571428571426
2.0,25.0,2.0,4.0,3.0,0.1942857142857143,0.39999999999999997,0.23428571428571426,0.23428571428571426
2.0,25.0,3.0,1.0,1.0,0.26,0.31,0.11,0.16
2.0,25.0,3.0,1.0,2.0,0.2,0.23,0.07,0.11
2.0,25.0,3.0,1.0,3.0,0.17,0.16,0.04,0.04
2.0,25.0,3.0,2.0,1.0,0.54,0.7200000000000001,0.28,0.28
2.0,25.0,3.0,2.0,2.0,0.43333333333333335,0.4466666666666667,0.28,0.28
2.0,25.0,3.0,2.0,3.0,0.38666666666666666,0.32,0.28,0.28
2.0,25.0,3.0,3.0,1.0,0.16,0.5700000000000001,0.2,0.29000000000000004
2.0,25.0,3.0,3.0,2.0,0.15,0.43000000000000005,0.2,0.2
2.0,25.0,3.0,3.0,3.0,0.14,0.33,0.2,0.2
2.0,25.0,3.0,4.0,1.0,0.195,0.7050000000000001,0.4,0.395
2.0,25.0,3.0,4.0,2.0,0.185,0.56,0.22999999999999998,0.22999999999999998
2.0,25.0,3.0,4.0,3.0,0.17500000000000002,0.44,0.22999999999999998,0.22999999999999998
2.0,50.0,1.0,1.0,1.0,0.2466666666666667,0.19111111111111112,0.04,0.04
